,unique_values,counts
0,Philadelphia,24899
1,Pennsylvania,10722
2,U.S.,9564
3,Texas,7939
4,the United States,7537
5,New York,4545
6,New Jersey,4499
7,California,3993
8,Washington,3706
9,Mexico,3703
10,US,3675
11,Ukraine,3564
12,PHILADELPHIA,3559
13,Florida,3290
14,Russia,3185
15,Eagles,2848
16,America,2682
17,Chicago,2313
18,Los Angeles,2247
19,Delaware,2159
20,Houston,1949
21,Uvalde,1897
22,Arizona,1802
23,South Street,1648
24,Black,1605
25,Miami,1523
26,Georgia,1416
27,Pa.,1318
28,Europe,1315
29,San Antonio,1307
30,Capitol,1272
31,Israel,1255
32,Dallas,1171
33,Virginia,1141
34,New York City,1124
35,Maryland,1107
36,Pittsburgh,1099
37,Center City,1088
38,Canada,1080
39,Atlanta,1071
40,China,1070
41,Ohio,1060
42,Illinois,1016
43,Colombia,1001
44,North Carolina,946
45,Buffalo,946
46,Harden,891
47,Atlantic City,881
48,D.C.,853
49,Highland Park,848
50,South Philadelphia,840
51,Puerto Rico,833
52,San Francisco,832
53,Spain,828
54,Boston,824
55,Hollywood,776
56,Colorado,776
57,Montgomery County,749
58,Michigan,749
59,West Philadelphia,737
60,Moscow,714
61,Brooklyn,709
62,WASHINGTON,709
63,Connecticut,704
64,Sacramento,699
65,London,692
66,North Philadelphia,681
67,Africa,674
68,Germany,658
69,Camden,655
70,N.J.,649
71,Harrisburg,646
72,Venezuela,634
73,Austin,627
74,Us,619
75,Utah,610
76,Baltimore,599
77,France,597
78,Phoenix,578
79,South Jersey,573
80,Tennessee,564
81,Missouri,549
82,Indiana,547
83,Massachusetts,545
84,Alabama,545
85,South Philly,540
86,Japan,539
87,Abbott,538
88,Delaware County,536
89,Cuba,535
90,Mississippi,530
91,United States,525
92,Mars,524
93,Bucks County,517
94,Latin America,516
95,Detroit,512
96,Minnesota,509
97,South Carolina,507
98,Earth,498
99,Las Vegas,493
100,Kensington,489
101,Seattle,476
102,Oklahoma,476
103,Wisconsin,474
104,VX,468
105,Iran,461
106,Guatemala,458
107,Manhattan,454
108,Toronto,452
109,Louisiana,451
110,South,447
111,the White House,434
112,DC,433
113,Italy,432
114,Jupiter,429
115,San Diego,429
116,Tampa,429
117,Kentucky,428
118,Caribbean,422
119,Chestnut Hill,422
120,Oregon,413
121,City Hall,412
122,West Chester,403
123,Paris,402
124,Orlando,395
125,West Virginia,395
126,St. Louis,394
127,NEW YORK,391
128,Chester County,390
129,Mexico City,390
130,Minneapolis,389
131,USA,383
132,Broadway,375
133,Australia,374
134,Netflix,368
135,PA,368
136,Brazil,360
137,The United States,360
138,Nevada,355
139,Philly,352
140,Venus,352
141,North America,343
142,Honduras,342
143,Iowa,342
144,Milwaukee,338
145,Germantown,338
146,Old City,335
147,Washington Avenue,335
148,New Mexico,329
149,the United Kingdom,326
150,Saudi Arabia,321
151,England,318
152,Washington DC,316
153,U.K.,312
154,Britain,312
155,Argentina,306
156,Broad Street,305
157,Maine,301
158,Fetterman,299
159,India,297
160,Americas,296
161,Northeast,295
162,Denver,295
163,Afghanistan,294
164,Wyoming,288
165,El Salvador,287
166,Nashville,287
167,Germantown Avenue,286
168,Hawaii,285
169,West Philly,284
170,Maxey,281
171,Kansas,280
172,Arkansas,279
173,Gemini,278
174,New Orleans,277
175,Haiti,273
176,Parkland,269
177,Montana,269
178,FDR Park,268
179,Cincinnati,267
180,Ocean City,267
181,Wilmington,266
182,Allentown,266
183,Columbus,264
184,Atlantic,262
185,Asia,259
186,Wildwood,257
187,Cape May,255
188,West,252
189,Nicaragua,251
190,Taiwan,249
191,the Dominican Republic,247
192,Turkey,247
193,Cleveland,246
194,Portland,244
195,Oakland,243
196,the City of Philadelphia,243
197,Bronx,242
198,Nexstar,241
199,Indianapolis,239
200,Madrid,239
201,Alaska,229
202,Newark,228
203,Salt Lake City,221
204,Northeast Philadelphia,220
205,QB,220
206,the Delaware River,219
207,Smith,216
208,Memorial Day,213
209,Thor,212
210,Fort Worth,210
211,Pottstown,209
212,Calif.,209
213,Parkway,208
214,University City,207
215,Rhode Island,207
216,Idaho,206
217,Jackson,203
218,Tijuana,200
219,Nigeria,199
220,Lehigh Valley,198
221,Greater Philadelphia,197
222,Kansas City,196
223,Beijing,196
224,the Middle East,195
225,Tucson,194
226,Outlaw,193
227,Donbas,193
228,Sweden,192
229,Nebraska,191
230,Bannon,190
231,Peru,187
232,Cherry Hill,187
233,San José,184
234,Poland,184
235,Iraq,183
236,Vatican,182
237,Arlington,182
238,LOS ANGELES,180
239,New England,179
240,New Jersey’s,178
241,Barcelona,178
242,Tulsa,178
243,Bakersfield,177
244,San Juan,177
245,Central America,177
246,Ukrainian,177
247,Jersey,176
248,Trenton,174
249,Norristown,173
250,Philippines,172
251,Mt. Airy,170
252,Tokyo,168
253,Portugal,164
254,Richmond,164
255,Ecuador,163
256,Camden County,163
257,Qatar,162
258,Vietnam,162
259,N.Y.,161
260,Carolina,159
261,the Jersey Shore,158
262,Hunting Park,156
263,Chile,156
264,Fairmount Park,155
265,New Zealand,155
266,Thailand,154
267,Harris County,154
268,Fishtown,154
269,Fla.,153
270,Del.,153
271,Costa Rica,153
272,NYC,153
273,South Dakota,152
274,Fresno,152
275,Queens,150
276,Burlington County,149
277,Independence Hall,146
278,Guadalajara,146
279,Springfield,146
280,the Schuylkill River,145
281,Southwest,145
282,Robb Elementary School,144
283,Vegas,143
284,Newtown,143
285,Hurts,143
286,Thybulle,143
287,Charlotte,143
288,Citizens Bank Park,142
289,the East Coast,141
290,the Proud Boys,141
291,Syria,141
292,Memphis,140
293,Lancaster County,140
294,Pacific,139
295,New York’s,139
296,Port Richmond,138
297,New Hampshire,137
298,Los Angeles County,137
299,Long Island,137
300,Chestnut Street,136
301,El Paso,134
302,District,134
303,Rome,133
304,Natalia,133
305,HARRISBURG,133
306,Cobbs Creek,132
307,South Korea,132
308,Southwest Philadelphia,131
309,North Philly,131
310,Allegheny County,131
311,Market Street,131
312,Vermont,130
313,Galveston,129
314,North Dakota,129
315,the Delaware Valley,128
316,Hong Kong,128
317,North,127
318,Miami-Dade,127
319,Metro,127
320,East,127
321,Finland,125
322,Philabundance,125
323,Lehigh County,124
324,the District of Columbia,124
325,Luhansk,123
326,Cherry Street Pier,121
327,Berlin,119
328,pennsylvania,117
329,UK,117
330,Scranton,115
331,Roosevelt Boulevard,114
332,South Africa,114
333,Liberia,114
334,Clark Park,111
335,Jalisco,110
336,Congo,110
337,Inquirer,110
338,L.A.,110
339,Phoenixville,109
340,Fairmount,109
341,Rittenhouse Square,109
342,St.,109
343,Kueng,109
344,Bolivia,109
345,Wissahickon,109
346,Uranus,109
347,Kyiv,109
348,Monterrey,108
349,Louisville,108
350,South America,108
351,Ardmore,108
352,ATLANTIC CITY,107
353,LA,107
354,Delaware River,107
355,Egypt,106
356,MD,106
357,Jordan,106
358,Sheffield,106
359,Yellowstone,105
360,NRA,104
361,Media,104
362,Southern California,104
363,New Jersey's,104
364,Havana,104
365,Oaxaca,104
366,LONDON,103
367,Amazon Worth,103
368,Jersey Shore,102
369,the Bay area,102
370,Independence Mall,102
371,Ireland,102
372,Main Street,101
373,Awake America,100
374,Philadelphia International Airport,100
375,Istanbul,99
376,Chiapas,99
377,Odesa,99
378,Rehoboth Beach,99
379,Unimás,99
380,Charleston,99
381,Walnut Street,98
382,VA,98
383,Va.,98
384,Midwest,98
385,Orange County,98
386,Amsterdam,96
387,Netherlands,96
388,Victoria,96
389,Jacksonville,96
390,Brandon,96
391,Franklin Square,96
392,Spotify,95
393,Bensalem,95
394,Denmark,94
395,Queen Village,94
396,Greece,94
397,Montreal,94
398,States,93
399,Jeopardy,93
400,Upper Darby,92
401,Singapore,92
402,Jamaica,92
403,Robb Elementary,92
404,Jefferson,91
405,Berks County,91
406,Washington D.C.,91
407,Mediterranean,91
408,Switzerland,90
409,San Jose,90
410,Morocco,89
411,Milan,89
412,Tiktok,88
413,Hammonton,88
414,Savannah,88
415,Nationals,88
416,Indonesia,88
417,Delta,88
418,Frankford,88
419,Capricorn,87
420,the NL East,87
421,Birmingham,87
422,The City of Philadelphia,86
423,Morey,86
424,Scotland,86
425,Sea Isle City,86
426,Cape May County,85
427,Norway,85
428,Jerusalem,85
429,Michoacán,84
430,Kenya,84
431,Ill.,84
432,Malvern,84
433,East Coast,84
434,the City of Brotherly Love,84
435,Franklin County,84
436,North Korea,83
437,Alberta,82
438,Bethlehem,81
439,the Gulf of Mexico,81
440,Eflin,81
441,SAN FRANCISCO,81
442,Tapachula,81
443,TRAINER,81
444,the Ben Franklin Parkway,80
445,Juneteenth,80
446,Gloucester County,80
447,KD,80
448,Notre Dame,80
449,Telemundo62,79
450,Lake County,79
451,Girard Avenue,79
452,Ontario,78
453,CHICAGO,78
454,East Passyunk,78
455,Pakistan,78
456,the Atlantic Ocean,77
457,the Black Sea,77
458,Aiden,77
459,Dilworth Park,76
460,Ethiopia,76
461,Lancaster,76
462,North Jersey,75
463,Panama,75
464,Ottawa,75
465,Omaha,74
466,Chick,74
467,New York's,73
468,North Broad Street,72
469,Bahamas,72
470,Springfield Township,72
471,Belgium,71
472,Great Britain,71
473,Puerto,71
474,Calgary,71
475,Morelos,71
476,the Golden State Warriors,71
477,Sirianni,71
478,Bangkok,70
479,Kamala,70
480,the Garden State,70
481,South Florida,70
482,Vancouver,70
483,u.s.,70
484,West Oak Lane,70
485,Veracruz,70
486,Baja,69
487,Lysychansk,69
488,East Germantown,69
489,N.C.,69
490,Salem,69
491,Sánchez,69
492,Md.,69
493,Wales,69
494,Lebanon,68
495,Dover,68
496,U.S,68
497,South St.,67
498,Doylestown,67
499,Toledo,67
500,4th Street,67
501,the School District of Philadelphia,67
502,Moderna,67
503,the Event Center at Live!,67
504,Alfredo,66
505,Adrián,66
506,the Eastern District,65
507,the Benjamin Franklin Parkway,65
508,York,65
509,Jenkintown,65
510,Stockton,65
511,Derby,65
512,Realmuto,64
513,Chester,64
514,Coatesville,64
515,Chinatown,64
516,Santa Ana,64
517,Fahrenheit,64
518,Dallas County,64
519,Miami Beach,64
520,Frankford Avenue,63
521,Harlem,63
522,Kensington Avenue,63
523,Black Sea,63
524,Dobbs,63
525,Hungary,63
526,Tops,63
527,Lansdale,62
528,Krasner,62
529,Langhorne,62
530,Pasadena,62
531,White,62
532,Oklahoma City,62
533,Verónica,62
534,Long Beach,61
535,Shanghai,61
536,the United States of America,61
537,P.S.,61
538,Gettysburg,61
539,St. Joe’s,61
540,San Bernardino,61
541,Curry,61
542,New Castle County,60
543,Albany,60
544,AI,60
545,Long Beach Island,60
546,Tehran,59
547,Malta,59
548,HOUSTON,59
549,Cumberland,59
550,Spruce Street Harbor Park,59
551,the Soviet Union,59
552,Holland,59
553,the Fashion District,59
554,Turpin,59
555,Moniak,58
556,Amazon Prime,58
557,West Nile,58
558,ROE,58
559,Cumberland County,58
560,Atlantic City’s,58
561,Strawberry Mansion,58
562,Taurus,58
563,Silicon Valley,58
564,Barstool,57
565,AC,57
566,Central Park,57
567,Xavier,57
568,Khashoggi,57
569,Staten Island,57
570,Rochester,57
571,Madison Square Garden,57
